1;2;3;4;5;6;7;8;9;10;11;12
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;15.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;59.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26.3;41.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;661.55;680.67;2120.31
0.0;36.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;268.7;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1002.45;0.0
0.0;0.0;0.0;0.0;0.0;31.26;0.0;0.0;6983.5;0.0;7466.02;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;729.0;0.0;0.0
0.0;0.0;17.04;0.0;0.0;32.4;0.0;405.12;0.0;18.24;157.89;52.92
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.84;0.0;0.0;0.0
156.0;167.1;342.16;171.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.66;0.0;19.87;35.77;46.85;55.64;66.72;0.0;55.64;46.85;55.64;0.0
45.12;77.22;123.49;100.35;77.22;57.35;68.81;68.81;30.95;46.27;104.9;46.27
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;278.78;162.68
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.46;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.03;0.0
0.0;-82.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;101.1;202.2;0.0;0.0;0.0;0.0;202.2;0.0
0.0;66.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;126.26;76.02;160.78;82.72;89.6;376.24;356.07;913.04;541.76;373.44;765.6
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1226.94;247.18
105.0;74.47;178.6;182.17;110.37;148.94;71.8;64.93;143.6;107.7;107.7;53.85
0.0;0.0;45.06;0.0;45.06;0.0;0.0;0.0;0.0;0.0;45.06;0.0
0.0;36.8;0.0;0.0;0.0;33.79;37.55;0.0;36.05;0.0;36.05;40.55
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;78.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;9.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;558.0;0.0;0.0;0.0;0.0;0.0
36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;25.14;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;305.94;0.0;0.0;0.0;0.0
1224.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135.92;45.43;99.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;199.62;0.0
0.0;159.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;53.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;66.68;0.0;44.55;0.0;0.0;0.0;44.55;92.25;0.0;89.1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.42
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.52;230.4;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;168.0
0.0;0.0;79.97;133.11;193.59;87.05;179.43;0.0;213.08;207.8;200.67;295.72
91.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.0;167.79;203.01;203.01;135.34;203.01;135.34;67.67;135.34;203.01;135.34;67.67
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.13;0.0;297.13
0.0;0.0;254.76;371.55;325.57;465.33;369.73;348.56;567.92;475.92;475.93;445.07
0.0;0.0;104.39;127.38;127.38;127.38;196.36;127.38;198.19;221.17;197.28;197.29
0.0;0.0;0.0;69.5;0.0;80.5;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.57;35.9;35.9;92.42
0.0;89.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;17.67;307.17;141.57;157.59;304.5;169.92;91.81;154.92;227.55;363.78;17.67
0.0;0.0;191.51;238.56;147.76;204.3;124.02;0.0;39.37;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;91.41;102.35;88.74;0.0;73.86;0.0;91.41;73.86;73.86;88.74
0.0;0.0;72.0;176.29;253.86;204.4;172.3;0.0;240.98;284.67;281.01;101.97
0.0;0.0;0.0;103.74;190.63;197.7;106.29;91.41;245.53;192.36;79.2;147.72
0.0;0.0;0.0;0.0;77.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.82;513.98;332.14;642.23;135.72
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;286.92;277.39;103.65
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;385.72;644.88;124.23
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.8;0.0;95.55
0.0;123.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
129.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;114.64;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;63.57;0.0;0.0;0.0;15.89;31.79;-15.9
0.0;0.0;0.0;0.0;0.0;0.0;43.58;43.58;0.0;43.58;43.58;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;238.53;70.84;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.86;117.3;0.0;0.0
24.0;19.92;0.0;19.92;19.92;19.92;0.0;0.0;19.92;0.0;0.0;0.0
0.0;0.0;0.0;185.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;106.24;53.12;106.24;0.0;79.68;106.24;0.0;106.24;0.0;106.24;0.0
0.0;0.0;175.44;139.44;85.44;0.0;34.18;34.2;34.2;34.2;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.68;0.0;0.0
0.0;40.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;79.68;0.0;0.0;0.0;79.68;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.92;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.74;0.0;0.0;0.0
0.0;42.5;0.0;0.0;0.0;0.0;0.0;0.0;79.68;0.0;0.0;0.0
0.0;91.42;20.93;20.93;34.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;63.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;79.68;93.38;76.68;0.0;181.2;0.0;0.0;0.0;0.0;0.0
0.0;0.0;194.75;0.0;0.0;0.0;0.0;0.0;100.2;106.09;83.83;118.17
0.0;0.0;59.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;20.93;23.23;26.16;153.12;0.0;0.0;36.24;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;18.4;0.0;0.0;36.24;0.0;27.38
