Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
50015 - CARLOS MARTINEZ MATEO;031000136000012 - ERDINGER URWEISSE 50CL CAJA12x50 CL;0.0;0.0;0.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.6
50015 - CARLOS MARTINEZ MATEO;094000029000024 - GATAO BCO LATA 24X 250 ML ;0.0;0.0;0.0;29.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.17
60130 - CALIDAD E INNOVACION 2013. S.L.;028000004000024 - SLASH RED 8X3X33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;72.0
60130 - CALIDAD E INNOVACION 2013. S.L.;028000005000024 - SLASH ORIGIN 8X3X33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;72.0
60130 - CALIDAD E INNOVACION 2013. S.L.;028000006000024 - SLASH IPA  8X3X33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;72.0
60130 - CALIDAD E INNOVACION 2013. S.L.;028000008000020 - KARLSBRAU KELLER 20X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.4;0.0;50.4
60130 - CALIDAD E INNOVACION 2013. S.L.;028000010000020 - KARLSBRAU WEIZEN 20X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.4;0.0;50.4
60130 - CALIDAD E INNOVACION 2013. S.L.;028000032000001 - PACK KARLSBRAU KELLER 5B+JARRA ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;405.28;0.0;405.28
60130 - CALIDAD E INNOVACION 2013. S.L.;028000033000001 - PACK SLASH 6 X 33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;411.62;0.0;411.62
60130 - CALIDAD E INNOVACION 2013. S.L.;028000034000001 - PACK KARLSBRAU WEIZEN 5 BOT+JA ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;405.28;0.0;405.28
