Id;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
138000004000001 - FINCA TRESOLMOS LIAS 75CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
138000004000006 - FINCA TRESOLMOS LIAS 6X75CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;839.29;23.71;0.0;47.42;910.42
138000005000006 - FINCA TRESOLMOS LIAS 6X1.5L ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.76;0.0;53.76;0.0;107.52
C94000001000001 - T COFFEE 100% NATURAL PAQUETE 1 KG;804.81;1291.08;759.68;379.32;482.87;574.12;606.9;287.05;254.65;498.23;430.56;430.56;6799.83
C94000001000006 - T COFFEE 100% NATURAL CAJA 6 PAQUETES 1 KG;0.0;78.0;1403.26;862.44;1031.48;1047.46;955.94;514.73;954.71;1188.21;1134.73;1295.68;10466.64
C94000001000012 - T COFFEE 100% NATURAL CAJA 12 PAQUETES 1 KG;153.61;157.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;311.09
C94000002000001 - MONODOSIS DESCAFEINADO T. CAJA 100 UDS. de 7 grs;104.15;163.77;158.98;193.67;99.36;98.87;186.25;86.9;146.5;165.89;206.72;105.8;1716.86
C94000003000001 - CAPSU T. EXPRESSO 100% NATURAL PAQ. 10 CAPSULAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.32;67.32
C94000003000006 - CAPSU T. EXPRESSO 100% NATURAL CAJA 6 ESTUCHES x 10 CAP.;0.0;0.0;0.0;0.0;0.0;0.0;67.32;0.0;94.25;40.39;0.0;0.0;201.96
C94000005000001 - GALLETA VERMEIREN MIX C/225 UD ;75.36;11.19;44.76;44.76;44.76;44.76;11.19;44.75;91.08;93.63;371.97;77.34;955.55
C94000006000001 - TEA GALLERY P. EARL GREY BO/30 Paquete 30 uds.;20.7;14.16;21.24;35.4;35.4;0.0;0.0;0.0;14.16;21.24;42.48;35.4;240.18
C94000008000001 - CHOCOLATE TORRIE SOLUB.VENDING PAQ. x 1 KG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000011000001 - TORRELSA 100% ARABICA PAQUETE 1 KG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000011000006 - TORRELSA 100% ARABICA CAJA 6 PAQUETES 1 KG;191.64;196.54;98.27;98.27;98.27;0.0;98.27;0.0;0.0;98.27;0.0;98.27;977.8
C94000012000001 - CASTILLO 100% NATURAL PAQUETE 1 KG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000012000006 - CASTILLO 100% NATURAL CAJA 6 PAQUETES 1 KG;432.0;442.86;880.26;806.52;880.38;814.32;732.72;151.87;1413.82;1042.41;1740.79;1125.37;10463.32
C94000013000001 - CASTILLO 80/20 PAQUETE 1 KG;190.6;362.77;699.91;587.93;805.96;840.93;431.92;261.95;808.84;448.01;494.4;606.88;6540.1
C94000013000006 - CASTILLO 80/20 CAJA 6 PAQUETES 1 KG;336.35;346.68;335.98;404.96;473.93;684.4;1016.93;1010.94;1212.01;1157.91;1085.94;1050.01;9116.04
C94000016000001 - Descafeinado Torrelsa GRANO PAQUETE 1 KG;151.7;180.22;449.24;265.39;364.8;509.1;304.1;164.65;521.19;700.64;812.83;420.95;4844.81
C94000016000006 - Descafeinado Torrelsa GRANO CAJA 6 PAQUETES 1 KG;71.4;0.0;0.0;0.0;0.0;0.0;73.2;0.0;0.0;127.32;163.2;164.43;599.55
C94000018000001 - Cinco Estrellas 100% Natural PAQUETE 1 KG;0.0;0.0;55.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.29
C94000018000006 - Cinco Estrellas 100% Natural CAJA 6 PAQUETES 1 KG;360.96;349.47;493.43;370.14;467.19;476.43;323.88;370.15;416.42;1311.92;1383.21;2195.54;8518.74
C94000019000001 - Cinco Estrellas 80/20 PAQUETE 1 KG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000019000006 - Cinco Estrellas 80/20 CAJA 6 PAQUETES 1 KG;397.74;328.33;594.24;436.54;443.85;443.85;257.7;71.54;379.66;379.65;372.32;221.93;4327.35
C94000021000001 - AZUCAR CAJA 1000 UDS.;111.66;136.12;230.35;211.94;184.78;221.77;162.62;94.89;177.45;295.75;341.41;304.33;2473.07
C94000022000001 - EDULCORANTE TORRELSA PAQ. 150 SOBRES;33.8;60.92;112.14;90.78;107.12;125.49;91.88;42.72;110.89;142.61;207.22;162.93;1288.5
C94000028000001 - SOLUBLE DESCAFEINADO TORRELSA PAQ. 100 SOBRES;7.61;7.61;15.62;46.86;15.62;15.62;7.81;15.62;31.24;54.67;53.11;15.62;287.01
C94000030000001 - CAPSU T. DESCAF 100% NATURAL PAQ. 10 CAPSULAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.86;53.86
C94000030000006 - CAPSU T. DESCAF 100% NATURAL CAJA 6 PAQ.x 10 CAPSULAS;0.0;0.0;0.0;0.0;0.0;0.0;80.78;0.0;53.86;26.93;0.0;0.0;161.57
C94000032000001 - CAPSULA TORRIE ANGOLA PAQ. 10 CAPSULAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.32;67.32
C94000032000006 - CAPSULA TORRIE ANGOLA CAJA 6 PAQ. x 10 CAPSULAS;0.0;0.0;0.0;0.0;0.0;0.0;67.32;0.0;94.25;40.39;0.0;0.0;201.96
C94000034000001 - CAPSU T. COLOMBIA 100% ARABICA PAQ 10 CAPSULAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000047000001 - CAPS. T. NATURAL POINT EX PAQUETE 50 UDS.;87.5;269.25;278.22;395.05;94.2;359.0;107.7;179.5;484.65;269.25;495.42;305.15;3324.89
C94000048000001 - CAPS. T. DESCAFEINADO POINT EX PAQUETE 50 UDS.;17.5;17.95;50.85;83.85;0.0;35.9;17.95;17.95;125.65;17.95;50.26;125.65;561.46
C94000054000012 - DILMAH PEPPERMINT INFUSIï¿½N CAJA 12 PAQ X 100 SOBRES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.27;0.0;0.0;19.27
C94000057000012 - DILMAH TE PURE GREEN TEA CAJA 12 PAQ X 100 SOBRES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.82;0.0;0.0;57.82
C94000058000012 - DILMAH TE EARL GREY CAJA 12 PAQ X 100 SOBRES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.82;0.0;0.0;57.82
C94000059000012 - DILMAH TE ENGLISH BREAKFAST CAJA 12 PAQ X 100 SOBRES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.82;0.0;0.0;57.82
C94000061000001 - TEA GALLERY P.NEG-CANELA BO/30 PAQ. 30 UDS.;13.8;13.98;42.48;28.32;14.16;21.24;21.24;7.08;7.08;14.16;14.16;21.24;218.94
C94000062000001 - TEA GALLERY P. VERD-MENT BO/30 PAQ. 30 UDS.;27.6;6.9;28.32;21.24;14.16;7.08;21.24;7.08;21.24;14.16;35.4;7.08;211.5
C94000063000001 - TEA GALLERY P. VERD-JAZM BO/30 PAQ. 30 UDS.;48.3;14.16;42.48;49.56;21.24;70.8;14.16;7.08;28.32;35.4;21.24;49.56;402.3
C94000064000001 - TEA GALLERY P. ROOIBOS  BO/30 PAQ. 30 UDS.;27.6;7.08;56.64;14.16;14.16;21.24;0.0;0.0;21.24;28.32;28.32;35.4;254.16
C94000065000001 - TEA GALLERY P. SUEï¿½ TROP BO/30 PAQ. 30 UDS.;6.9;27.96;14.16;7.08;14.16;7.08;7.08;0.0;7.08;0.0;7.08;7.08;105.66
C94000066000001 - TEA GALLERY P.FRUT BOSQ  BO/30 PAQ. 30 UDS.;13.8;6.9;21.24;14.16;0.0;14.16;7.08;0.0;7.08;14.16;7.08;28.32;133.98
C94000067000001 - TEA GALLERY P. MENTA  BO/30 PAQ. 30 UDS.;13.8;35.22;49.56;28.32;56.64;49.56;7.08;14.16;49.56;28.32;49.56;56.64;438.42
C94000068000001 - TEA GALLERY P. MANZANIL  BO/30 PAQ. 30 UDS.;41.4;14.16;49.56;42.48;63.72;84.96;49.56;14.16;35.4;56.64;63.72;106.2;621.96
C94000069000001 - TEA GALLERY P. TILA  BO/30 PAQ. 30 UDS.;0.0;0.0;14.16;21.24;0.0;0.0;0.0;7.08;7.08;21.24;7.08;28.32;106.2
C94000070000001 - AZUCAR MORENO 7gr. 500ud;0.0;25.22;37.83;25.22;25.22;50.44;25.22;12.61;37.83;37.83;58.01;12.61;348.04
C94000081000001 - LECHE TORRIE SOL. INTENSO VEND PAQ. x 500 GRS.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000083000001 - ESTUCHE EXPRESSO 24 EXP.DESC.C/L.ANG.BRAS.COLOM.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.52;230.4;0.0;0.0;241.92
C94000094000001 - COLOMBIA-MONOVARIETAL MONOD. ESTUCHE 15 UDS.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000099000001 - MONODOSIS NATURAL T. ESTUCHE 100 UDS. 7 GRS.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.24;42.72;64.96
C94000101000001 - CAFE TORRESINI 80/20 1 KG;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0;173.13;0.0;228.13
C94000101000006 - CAFE TORRESINI 80/20 CAJA DE 6 KG;340.98;315.78;612.6;345.38;237.31;540.62;276.39;241.68;345.38;409.02;608.25;177.1;4450.49
C94000102000001 - CAFE TORRESINI NATURAL 1 KG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C94000102000006 - CAFE TORRESINI NATURAL CAJA 6KG;0.0;67.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.26
C94000104000001 - DILMAH GRANEL CEYLON GREEN TEA LATA 100G/06;0.0;0.0;9.98;9.98;0.0;9.98;0.0;0.0;0.0;0.0;0.0;0.0;29.94
C94000105000001 - DILM.GRANEL ELEGANT EARL GREY LATA 100G/06;0.0;0.0;9.98;0.0;0.0;0.0;0.0;0.0;9.98;0.0;0.0;0.0;19.96
C94000107000001 - DILM GRANEL GENTLE MINTY GREEN LATA 100G/06;0.0;0.0;9.98;0.0;0.0;9.98;0.0;0.0;0.0;0.0;0.0;0.0;19.96
